burn,lock,token_address,yield
0.0,0.0,0x5152e1cb69A2FfA3997E89CbB4aBA76A01D82141,0.0
0.0,0.0,0x65F9A292f1AEED5D755Aa2fD2Fb17AB2E9431447,0.0
0.0,0.0,0x59C8C614bCf74041143710Ec09e5837d9383Ba16,0.0
0.0,0.0,0x2432c78801380ba2538F9BdDf65C81d525e64DB4,0.0
0.0,0.0,0x34c3f50E408aBaC32436D7F744f89379e5C2b972,1.0
0.0,0.0,0x1A5F9352Af8aF974bFC03399e3767DF6370d82e4,0.0
0.0,0.0,0x1828E7a548bBD4A90ac74e0B411503512Dd25268,0.0
0.0,0.0,0xA06F6870b254a9aD05e27aC93168D9c8f6D40C81,0.0
0.0,0.0,0xB8D9059ce0bFAA6d9E823383067a526434B2059B,0.0
0.0,1.0,0x181C514EF87E069d138A197DBd9f4e2A3D2fece9,1.0
0.0,0.0,0xBE579711fE8D7e566793a1553334C61F9cB56999,0.0
0.0,0.0,0xC8807f0f5BA3fa45FfBdc66928d71c5289249014,0.0
0.0,0.0,0x753481e27a753db9168cb855a6d16d7767F3679a,0.0
0.0,0.0,0xD0c3C546D7f6e8f7CD68d8E049e798bA8529677d,0.0
0.0,0.0,0x8B97A9BBa080f0be310c07BC308FbAeAA5F604D1,0.0
0.0,0.0,0x48BcB97E63f91c8e064307E9ff35E86e4CAb6F98,0.0
0.0,0.0,0xD71eCFF9342A5Ced620049e616c5035F1dB98620,0.0
0.0,0.0,0x7CCC863EcE2E15bC45ac0565D410da7A3340aD98,0.0
0.0,0.0,0xebD04f04f260F5032ec09d7FD29df3BF31f7acD4,0.0
0.0,0.0,0xb6c7FA953F4e87e1C3F1d359492B6B6489C7B288,0.0
0.0,0.0,0xEF9867047473160a7f57f04Dbd6E9Fe870112c49,0.0
0.0,0.0,0x0a0f4eC88fE186bcE0EF43856070324DAeea1941,0.0
0.0,0.0,0x89F28728D7aF84D806CA92faAaa7795f27C032D5,0.0
0.0,0.0,0x289C4dF82fc93fEd57611c678b63E19EF2747E75,0.0
0.0,0.0,0x7065C48AaE79e61828ecd3F370111cEa4ce8F467,0.0
0.0,0.0,0xa174D6c54635d9ac7f19b0fF4F9704EAa9399599,0.0
0.0,0.0,0xB7608381e5c7B1E7AdA306E77AF74f132a83D564,0.0
0.0,1.0,0x3dE2c2Ad13b0ffD3C32ceA5E06ea8D249fAbA8B4,1.0
0.0,0.0,0x2beEf6CF409c9209ebA44Ad005be3cBD5cc715c5,0.0
0.0,0.0,0x3276Fe1b681CD58A3C2D9E62c6F02DCA81B6eF1C,0.0
0.0,0.0,0x1334C5629fe4aCE62D4d5E9A0b9b44dA7212E21E,0.0
0.0,0.0,0xF7E5c0f2cDE163b94d460a8a734BF547160a7b67,0.0
0.0,0.0,0x044ac47a7270878a17B56c6Baadd485fB6200E72,0.0
0.0,0.0,0xBb90DdAC798456195E048FCd563C92eeB66A71c9,0.0
0.0,0.0,0x5B3e988C9EE99F14042B4ed41F97AF90fF2f8752,0.0
0.0,0.0,0xc74299f95C8d2aDa29DFb49C66B2c242B2d8B47e,0.0
0.0,0.0,0x608886dBA25aAe99E2D9aa822c5970822fF95B6E,0.0
0.0,0.0,0xEfB5a90146a40cdBd03264a105788B3071975478,0.0
0.0,0.0,0xf34E916534589e915d46e6bc545a1700d9e1b233,0.0
